Date,Open,High,Low,Close,Adj Close,Volume,Mode,Mean,Median
2019-03-14,2810.379883,2815.0,2803.459961,2808.47998,2808.47998,3469730000,2808.47998,578290674.2999674,2809.4299315
2019-03-15,2810.790039,2830.72998,2810.790039,2822.47998,2822.47998,5962730000,"2810.790039,2822.47998",993790682.8783363,2822.47998
2019-03-18,2822.610107,2835.409912,2821.98999,2832.939941,2832.939941,3552190000,2832.939941,592034024.3149818,2832.939941
2019-03-19,2840.76001,2852.419922,2823.27002,2832.570068,2832.570068,3620220000,2832.570068,603372363.598348,2836.665039
2019-03-20,2831.340088,2843.540039,2812.429932,2824.22998,2824.22998,3771200000,2824.22998,628535689.2950032,2827.785034
2019-03-21,2819.719971,2860.310059,2817.379883,2854.879883,2854.879883,3546800000,2854.879883,591135701.1949465,2854.879883
2019-03-22,2844.52002,2846.159912,2800.469971,2800.709961,2800.709961,4237200000,2800.709961,706202348.7616376,2822.6149905
2019-03-25,2796.01001,2809.790039,2785.02002,2798.360107,2798.360107,3376580000,2798.360107,562765664.5900472,2798.360107
2019-03-26,2812.659912,2829.870117,2803.98999,2818.459961,2818.459961,3266050000,2818.459961,544344013.9066569,2818.459961
2019-03-27,2819.719971,2825.560059,2787.719971,2805.370117,2805.370117,3372930000,2805.370117,562157340.6233724,2812.545044
2019-03-28,2809.399902,2819.709961,2798.77002,2815.439941,2815.439941,3158170000,2815.439941,526364009.7932942,2815.439941
2019-03-29,2828.27002,2836.030029,2819.22998,2834.399902,2834.399902,3740700000,2834.399902,623452358.7216388,2834.399902
2019-04-01,2848.629883,2869.399902,2848.629883,2867.189941,2867.189941,3500760000,"2848.629883,2867.189941",583462383.5065917,2867.189941
2019-04-02,2868.23999,2872.899902,2858.75,2867.23999,2867.23999,3246900000,2867.23999,541152389.0616454,2867.73999
2019-04-03,2876.090088,2885.25,2865.169922,2873.399902,2873.399902,3550240000,2873.399902,591709062.2183024,2874.744995
2019-04-04,2873.98999,2881.280029,2867.139893,2879.389893,2879.389893,3015180000,2879.389893,502532396.8649497,2879.389893
2019-04-05,2884.159912,2893.23999,2882.98999,2892.73999,2892.73999,3146820000,2892.73999,524472407.6449787,2892.73999
2019-04-08,2888.459961,2895.949951,2880.780029,2895.77002,2895.77002,3054030000,2895.77002,509007409.4549968,2895.77002
2019-04-09,2886.580078,2886.879883,2873.330078,2878.199951,2878.199951,3007980000,2878.199951,501332400.5316568,2882.3900145
2019-04-10,2881.370117,2889.709961,2879.129883,2888.209961,2888.209961,3062380000,2888.209961,510399071.10498047,2888.209961
2019-04-11,2891.919922,2893.419922,2881.98999,2888.320068,2888.320068,2938540000,2888.320068,489759073.99499506,2890.119995
2019-04-12,2900.860107,2910.540039,2898.370117,2907.409912,2907.409912,3688490000,2907.409912,614750754.0983478,2907.409912
2019-04-15,2908.320068,2909.600098,2896.47998,2905.580078,2905.580078,3088330000,2905.580078,514724087.5933836,2906.950073
2019-04-16,2912.26001,2916.060059,2900.709961,2907.060059,2907.060059,3402210000,2907.060059,567037423.858358,2909.6600344999997
2019-04-17,2916.040039,2918.0,2895.449951,2900.449951,2900.449951,3602300000,2900.449951,600385755.064982,2908.244995
2019-04-18,2904.810059,2908.399902,2891.899902,2905.030029,2905.030029,3506850000,2905.030029,584477419.1949868,2905.030029
2019-04-22,2898.780029,2909.51001,2896.350098,2907.969971,2907.969971,2997950000,2907.969971,499660753.4300132,2907.969971
2019-04-23,2909.98999,2936.310059,2908.530029,2933.679932,2933.679932,3635030000,2933.679932,605840770.3649904,2933.679932
2019-04-24,2934.0,2936.830078,2926.050049,2927.25,2927.25,3448960000,2927.25,574829108.5633545,2930.625
2019-04-25,2928.98999,2933.100098,2912.840088,2926.169922,2926.169922,3425280000,2926.169922,570882437.8783367,2927.579956
2019-04-26,2925.810059,2939.879883,2917.560059,2939.879883,2939.879883,3248500000,2939.879883,541419110.5016278,2939.879883
2019-04-29,2940.580078,2949.52002,2939.350098,2943.030029,2943.030029,3118780000,2943.030029,519799119.251709,2943.030029
2019-04-30,2937.139893,2948.219971,2924.110107,2945.830078,2945.830078,3919330000,2945.830078,653224116.8550211,2945.830078
2019-05-01,2952.330078,2954.129883,2923.360107,2923.72998,2923.72998,3645850000,2923.72998,607644112.8800046,2938.030029
2019-05-02,2922.159912,2931.679932,2900.5,2917.52002,2917.52002,3778890000,2917.52002,629817431.563314,2919.839966
2019-05-03,2929.209961,2947.850098,2929.209961,2945.639893,2945.639893,3338120000,"2929.209961,2945.639893",556355782.9249676,2945.639893
2019-05-06,2908.889893,2937.320068,2898.209961,2932.469971,2932.469971,3181520000,2932.469971,530255768.22664404,2932.469971
2019-05-07,2913.030029,2913.030029,2862.600098,2884.050049,2884.050049,3767100000,"2913.030029,2884.050049",627852409.4600424,2898.540039
2019-05-08,2879.610107,2897.959961,2873.280029,2879.419922,2879.419922,3485790000,2879.419922,580967401.6149901,2879.5150145
2019-05-09,2859.840088,2875.969971,2836.399902,2870.719971,2870.719971,3638820000,2870.719971,606472385.6083171,2870.719971
2019-05-10,2863.100098,2891.310059,2825.389893,2881.399902,2881.399902,3529600000,2881.399902,588269057.0999757,2881.399902
2019-05-13,2840.189941,2840.189941,2801.429932,2811.870117,2811.870117,3894030000,"2840.189941,2811.870117",649007350.9250079,2826.030029
2019-05-14,2820.120117,2852.540039,2820.120117,2834.409912,2834.409912,3322720000,"2820.120117,2834.409912",553789026.9333495,2834.409912
2019-05-15,2820.379883,2858.679932,2815.080078,2850.959961,2850.959961,3125950000,2850.959961,520994032.6766358,2850.959961
2019-05-16,2855.800049,2892.149902,2855.800049,2876.320068,2876.320068,3338060000,"2855.800049,2876.320068",556345726.0650226,2876.320068
2019-05-17,2858.600098,2885.47998,2854.22998,2859.530029,2859.530029,3257950000,2859.530029,542994052.8950194,2859.530029
2019-05-20,2841.939941,2853.860107,2831.290039,2840.22998,2840.22998,3288870000,2840.22998,548147367.9250078,2841.0849605000003
2019-05-21,2854.02002,2868.879883,2854.02002,2864.360107,2864.360107,3218700000,"2854.02002,2864.360107",536452384.2733562,2864.360107
2019-05-22,2856.060059,2865.469971,2851.110107,2856.27002,2856.27002,3192510000,2856.27002,532087380.86336285,2856.27002
2019-05-23,2836.699951,2836.699951,2805.48999,2822.23999,2822.23999,3891980000,"2836.699951,2822.23999",648665687.228312,2829.4699705000003
2019-05-24,2832.409912,2841.360107,2820.189941,2826.060059,2826.060059,2887390000,2826.060059,481234024.3466797,2829.2349855
2019-05-28,2830.030029,2840.51001,2801.580078,2802.389893,2802.389893,4121410000,2802.389893,686904012.8166505,2816.209961
2019-05-29,2790.25,2792.030029,2766.060059,2783.02002,2783.02002,3700050000,2783.02002,616677319.0633546,2786.63501
2019-05-30,2786.939941,2799.0,2776.73999,2788.860107,2788.860107,3273790000,2788.860107,545633990.0666908,2788.860107
2019-05-31,2766.149902,2768.97998,2750.52002,2752.060059,2752.060059,3981020000,2752.060059,663505631.6283367,2759.1049805000002
2019-06-03,2751.530029,2763.070068,2728.810059,2744.449951,2744.449951,3943810000,2744.449951,657303955.3850096,2747.98999
2019-06-04,2762.639893,2804.48999,2762.639893,2803.27002,2803.27002,3810430000,"2762.639893,2803.27002",635073989.3849694,2803.27002
2019-06-05,2818.090088,2827.280029,2800.919922,2826.149902,2826.149902,3548830000,2826.149902,591474016.4316405,2826.149902
2019-06-06,2828.51001,2852.100098,2822.449951,2843.48999,2843.48999,3396410000,2843.48999,566070698.3400065,2843.48999
2019-06-07,2852.870117,2884.969971,2852.870117,2873.340088,2873.340088,3220250000,"2852.870117,2873.340088",536710722.8983968,2873.340088
2019-06-10,2885.830078,2904.77002,2885.51001,2886.72998,2886.72998,3209210000,2886.72998,534870741.5950113,2886.72998
2019-06-11,2903.27002,2910.610107,2878.530029,2885.719971,2885.719971,3548420000,2885.719971,591405743.9750164,2894.4949955
2019-06-12,2882.72998,2888.570068,2874.679932,2879.840088,2879.840088,3034130000,2879.840088,505690734.2766926,2881.285034
2019-06-13,2886.23999,2895.23999,2881.98999,2891.639893,2891.639893,3069810000,2891.639893,511637407.791626,2891.639893
2019-06-14,2886.820068,2894.449951,2879.620117,2886.97998,2886.97998,2922330000,2886.97998,487057405.8083494,2886.97998
2019-06-17,2889.75,2897.27002,2887.300049,2889.669922,2889.669922,2810140000,2889.669922,468359075.60998553,2889.709961
2019-06-18,2906.709961,2930.790039,2905.439941,2917.75,2917.75,3437620000,2917.75,572939096.4066569,2917.75
2019-06-19,2920.550049,2931.73999,2911.429932,2926.459961,2926.459961,3287890000,2926.459961,547984102.7733155,2926.459961
2019-06-20,2949.600098,2958.060059,2931.5,2954.179932,2954.179932,3905940000,2954.179932,650992457.9200035,2954.179932
